Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.571000,19.650613,0.000000,top
"C3","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",118.160800,19.701413,180.000000,top
"R1","33","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",113.932665,35.684617,180.000000,top
"RN1","33","R_Array_Convex_4x0603",18.244542,23.047296,90.000000,top
"RN2","33","R_Array_Convex_4x0603",22.054542,23.047296,90.000000,top
"RN3","33","R_Array_Convex_4x0603",34.754542,23.047296,90.000000,top
"RN4","33","R_Array_Convex_4x0603",38.564542,23.047296,90.000000,top
"RN5","33","R_Array_Convex_4x0603",51.264542,23.047296,90.000000,top
"RN6","33","R_Array_Convex_4x0603",55.074542,23.047296,90.000000,top
"RN7","33","R_Array_Convex_4x0603",67.774542,23.047296,90.000000,top
"RN8","33","R_Array_Convex_4x0603",71.584542,23.047296,90.000000,top
"U1","LM1117-3.3","SOT-223-3_TabPin2",119.718292,25.532922,90.000000,top
"U2","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",27.004041,14.723796,-90.000000,top
"U3","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",38.434041,14.723796,-90.000000,top
"U4","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",63.052853,14.723796,-90.000000,top
"U5","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",74.482853,14.723796,-90.000000,top
"U6","XC95144XL-TQ100","TQFP-100_14x14mm_P0.5mm",96.791939,29.365132,135.000000,top
"U7","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",20.178142,37.021284,180.000000,top
"U8","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",36.688142,37.021284,180.000000,top
"U9","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",53.198142,37.021284,180.000000,top
"U10","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",69.708142,37.021284,180.000000,top
"X1","50MHz","Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm_HandSoldering",112.357865,40.739017,-90.000000,top
